date,ave_humidity,rain,,,,
2020/7/31,83,1,,,,
2020/8/1,77,1,,,,
2020/8/2,75,0,,,,
2020/8/3,73,0,,,,
2020/8/4,74,0,,,,
2020/8/5,71,0,,,,
2020/8/6,74,0,,,,
2020/8/7,72,0,,,,
2020/8/8,74,0,,,,
2020/8/9,71,0,,,,
2020/8/10,68,0,,,,
2020/8/11,66,0,,,,
2020/8/12,75,0,,,,
2020/8/13,72,0,,,,
2020/8/14,66,0,,,,
2020/8/15,69,1,,,,
2020/8/16,68,0,,,,
2020/8/17,70,1,,,,
2020/8/18,69,0,,,,
2020/8/19,66,0,,,,
2020/8/20,66,0,,,,
2020/8/21,68,0,,,,
2020/8/22,75,1,,,,
2020/8/23,78,0,,,,
2020/8/24,75,0,,,,
2020/8/25,71,0,,,,
2020/8/26,74,0,,,,
2020/8/27,77,1,,,,
2020/8/28,74,0,,,,
2020/8/29,71,0,,,,
2020/8/30,69,0,,,,
2020/8/31,83,1,,,,
2020/9/1,80,0,,,,
2020/9/2,90,1,,,,
2020/9/3,84,1,,,,
2020/9/4,82,1,,,,
2020/9/5,81,1,,,,
2020/9/6,88,1,,,,
2020/9/7,87,1,,,,
2020/9/8,77,0,,,,
2020/9/9,72,0,,,,
2020/9/10,77,0,,,,
2020/9/11,75,0,,,,
2020/9/12,93,1,,,,
2020/9/13,90,1,,,,
2020/9/14,85,1,,,,
2020/9/15,79,0,,,,
2020/9/16,77,0,,,,
2020/9/17,80,0,,,,
2020/9/18,76,0,,,,
2020/9/19,90,1,,,,
2020/9/20,86,1,,,,
2020/9/21,77,1,,,,
2020/9/22,68,0,,,,
2020/9/23,87,1,,,,
2020/9/24,79,1,,,,
2020/9/25,97,1,,,,
2020/9/26,96,1,,,,
2020/9/27,89,1,,,,
2020/9/28,65,0,,,,
2020/9/29,68,0,,,,
2020/9/30,70,0,,,,
2020/10/1,79,0,,,,
2020/10/2,65,0,,,,
2020/10/3,75,0,,,,
2020/10/4,77,0,,,,
2020/10/5,79,0,,,,
2020/10/6,51,0,,,,
2020/10/7,74,1,,,,
2020/10/8,96,1,,,,
2020/10/9,97,1,,,,
2020/10/10,99,1,,,,
2020/10/11,85,0,,,,
2020/10/12,83,0,,,,
2020/10/13,77,0,,,,
2020/10/14,71,0,,,,
2020/10/15,81,0,,,,
2020/10/16,62,0,,,,
2020/10/17,92,1,,,,
2020/10/18,79,0,,,,
2020/10/19,85,1,,,,
2020/10/20,72,0,,,,
2020/10/21,69,0,,,,
2020/10/22,77,0,,,,
2020/10/23,86,1,,,,
2020/10/24,55,0,,,,
2020/10/25,54,0,,,,
2020/10/26,60,0,,,,
2020/10/27,66,0,,,,
2020/10/28,73,0,,,,
2020/10/29,55,0,,,,
2020/10/30,47,0,,,,
2020/10/31,55,0,,,,
2020/11/1,69,0,,,,
2020/11/2,77,1,,,,
2020/11/3,80,1,,,,
2020/11/4,50,0,,,,
2020/11/5,56,0,,,,
2020/11/6,69,0,,,,
2020/11/7,70,0,,,,
2020/11/8,60,0,,,,
2020/11/9,44,0,,,,
2020/11/10,52,0,,,,
2020/11/11,54,0,,,,
2020/11/12,64,0,,,,
2020/11/13,68,0,,,,
2020/11/14,47,0,,,,
2020/11/15,62,0,,,,
2020/11/16,64,0,,,,
2020/11/17,63,0,,,,
2020/11/18,72,0,,,,
2020/11/19,76,0,,,,
2020/11/20,79,0,,,,
2020/11/21,49,0,,,,
2020/11/22,65,0,,,,
2020/11/23,50,0,,,,
2020/11/24,59,0,,,,
2020/11/25,87,1,,,,
2020/11/26,84,0,,,,
2020/11/27,76,0,,,,
2020/11/28,58,0,,,,
2020/11/29,58,0,,,,
2020/11/30,67,0,,,,
2020/12/1,64,0,,,,
2020/12/2,72,0,,,,
2020/12/3,82,0,,,,
2020/12/4,52,0,,,,
2020/12/5,73,0,,,,
2020/12/6,75,0,,,,
2020/12/7,71,0,,,,
2020/12/8,56,0,,,,
2020/12/9,61,0,,,,
2020/12/10,71,0,,,,
2020/12/11,74,0,,,,
2020/12/12,65,0,,,,
2020/12/13,67,0,,,,
2020/12/14,54,0,,,,
2020/12/15,54,0,,,,
2020/12/16,49,0,,,,
2020/12/17,51,0,,,,
2020/12/18,48,0,,,,
2020/12/19,52,0,,,,
2020/12/20,53,0,,,,
2020/12/21,50,0,,,,
2020/12/22,53,0,,,,
2020/12/23,52,0,,,,
2020/12/24,60,0,,,,
2020/12/25,50,0,,,,
2020/12/26,52,0,,,,
2020/12/27,62,0,,,,
2020/12/28,57,0,,,,
2020/12/29,62,0,,,,
2020/12/30,61,0,,,,
2020/12/31,40,0,,,,
